File,Toxicity
Pr_54.txt,0.0353
Pr_40.txt,0.0035
adm_26.txt,0.0014
adm_27.txt,0.0072
Pr_41.txt,0.0112
Pr_55.txt,0.0068
bl_49.txt,0.0357
bl_61.txt,0.0137
bl_75.txt,0.0011
Pr_69.txt,0.0079
ex_20.txt,0.0107
ATec_11.txt,0.0013
ATec_05.txt,0.0008
ex_34.txt,0.037
ex_08.txt,0.0185
PNsc_06.txt,0.0054
PNsc_12.txt,0.005
nov_18.txt,0.0606
nov_01.txt,0.0709
nov_15.txt,0.2251
PHum_12.txt,0.0382
PHum_06.txt,0.0057
ex_11.txt,0.0181
ex_05.txt,0.0057
ATec_08.txt,0.0049
ex_39.txt,0.1335
bl_78.txt,0.0024
Pr_64.txt,0.03
bl_50.txt,0.0016
Pr_58.txt,0.0043
bl_44.txt,0.0028
adm_29.png.txt,0.0195
adm_16.txt,0.0431
bl_93.txt,0.0021
bl_87.txt,0.0029
bl_86.txt,0.0035
Adm_03.txt,0.0818
bl_92.txt,0.0016
adm_17.txt,0.0036
bl_45.txt,0.0011
Pr_59.txt,0.0012
bl_51.txt,0.0017
Pr_65.txt,0.0045
bl_79.txt,0.1064
ATec_09.txt,0.0025
ex_38.txt,0.0106
sl_41.doc.txt,0.0059
ex_04.txt,0.0101
ex_10.txt,0.0737
PHum_07.txt,0.0053
PHum_13.txt,0.011
nov_14.txt,0.0322
nov_16.txt,0.0298
nov_02.txt,0.1633
adm_30.png.txt,0.0048
PHum_05.txt,0.1087
PHum_11.txt,0.2094
PNsc_08.txt,0.0014
ex_06.txt,0.2652
ex_12.txt,0.0061
Pr_67.txt,0.0022
bl_47.txt,0.0019
bl_53.txt,0.0066
bl_84.txt,0.0012
bl_90.txt,0.0008
adm_15.txt,0.0069
adm_14.txt,0.027
bl_91.txt,0.0009
bl_85.txt,0.0005
bl_52.txt,0.0995
bl_46.txt,0.0004
Pr_66.txt,0.0234
ex_13.txt,0.0085
ex_07.txt,0.0788
PNsc_09.txt,0.001
PHum_10.txt,0.0078
PHum_04.txt,0.0097
nov_03.txt,0.0426
nov_17.txt,0.1424
nov_13.txt,0.1138
nov_07.txt,0.0526
PHum_14.txt,0.0089
PNsc_19.txt,0.004
ex_03.txt,0.1556
ex_17.txt,0.0091
bl_42.txt,0.0034
bl_56.txt,0.0019
Pr_62.txt,0.0056
bl_81.txt,0.0049
adm_04.txt,0.0047
adm_10.txt,0.0043
adm_11.txt,0.023
adm_05.txt,0.0011
bl_80.txt,0.0129
Pr_63.txt,0.0049
bl_57.txt,0.0014
bl_43.txt,0.0016
ex_16.txt,0.052
ex_02.txt,0.0963
PNsc_18.txt,0.0183
PHum_15.txt,0.0058
PHum_01.txt,0.0386
Nov_06.txt,0.0456
nov_12.txt,0.1349
ess_08.txt,0.0012
nov_04.txt,0.0857
nov_10.txt,0.1783
PHum_17.txt,0.0356
PHum_03.txt,0.024
ASsc_08.txt,0.0023
ex_28.txt,0.0334
ex_14.txt,0.0232
bl_55.txt,0.0066
Pr_49.txt,0.0137
bl_41.txt,0.0008
bl_69.txt,0.0051
Pr_61.txt,0.0009
adm_13.txt,0.0028
adm_07.txt,0.0044
bl_82.txt,0.0084
adm_28.png.txt,0.0613
bl_83.txt,0.0009
adm_06.txt,0.0014
sl_48.txt,0.0081
adm_12.txt,0.0037
Pr_60.txt,0.0031
bl_68.txt,0.0035
bl_40.txt,0.0103
Pr_48.txt,0.0037
bl_54.txt,0.0019
ex_01.txt,0.0154
ex_15.txt,0.0538
ex_29.txt,0.0072
ASsc_09.txt,0.0027
sl_40.doc.txt,0.0316
PHum_02.txt,0.0856
PHum_16.txt,0.0408
nov_11.txt,0.4851
Nov_05.txt,0.0943
ess_09.txt,0.0064
ed_03.txt,0.0105
ed_17.txt,0.0717
Pr_13.txt,0.0031
Pr_07.txt,0.0078
ANsc_05.txt,0.0068
bl_33.txt,0.0017
bl_27.txt,0.0056
ANsc_11.txt,0.0006
PTec_12.txt,0.0039
sl_13.txt,0.0207
PSsc_03.txt,0.2278
sl_07.txt,0.0535
PTec_06.txt,0.0008
AHum_08.txt,0.0159
SkHo_01.txt,0.0678
SkHo_15.txt,0.0035
SkHo_14.txt,0.003
sl_39.doc.txt,0.002
AHum_09.txt,0.0301
PTec_07.txt,0.0049
sl_06.txt,0.0607
sl_12.txt,0.0123
PTec_13.txt,0.0092
PSsc_02.txt,0.7122
bl_26.txt,0.043
ANsc_10.txt,0.0007
ANsc_04.txt,0.0013
bl_32.txt,0.0025
Pr_06.txt,0.0018
Pr_12.txt,0.0033
ed_16.txt,0.0306
ed_02.txt,0.0505
ed_14.txt,0.0228
ed_28.txt,0.0212
Pr_04.txt,0.0019
bl_18.txt,0.0036
Pr_10.txt,0.002
bl_24.txt,0.0026
Pr_38.txt,0.0077
bl_30.txt,0.0047
ANsc_06.txt,0.0008
sl_04.txt,0.26
PTec_05.txt,0.0147
PSsc_14.txt,0.0569
PTec_11.txt,0.0069
sl_10.txt,0.0104
sl_38.txt,0.0032
SkHo_16.txt,0.2387
SkHo_02.txt,0.2323
SkHo_03.txt,0.0973
SkHo_17.txt,0.0235
PSsc_01.txt,0.0139
sl_11.txt,0.0041
PTec_10.txt,0.0035
PTec_04.txt,0.0025
sl_05.txt,0.0215
PSsc_15.txt,0.0324
bl_31.txt,0.0028
ANsc_07.txt,0.0008
Pr_39.txt,0.0026
bl_25.txt,0.0037
Pr_11.txt,0.0071
bl_19.txt,0.0106
Pr_05.txt,0.0227
ed_01.txt,0.0087
ed_15.txt,0.0286
ex_48.txt,0.1628
ed_11.txt,0.016
ed_05.txt,0.0128
bl_21.txt,0.0618
ANsc_03.txt,0.0005
Pr_29.txt,0.0069
bl_35.txt,0.0017
Pr_01.txt,0.0089
bl_09.txt,0.0519
Pr_15.txt,0.0049
sl_29.txt,0.0715
PTec_28.txt,0.0063
PSsc_11.txt,0.0067
sl_01.txt,0.0182
PTec_14.txt,0.0055
sl_15.txt,0.0269
PSsc_05.txt,0.0104
SkHo_13.txt,0.0919
SkHo_07.txt,0.0768
SkHo_06.txt,0.0472
SkHo_12.txt,0.0175
sl_14.txt,0.0018
PTec_15.txt,0.0014
PSsc_04.txt,0.003
PSsc_10.txt,0.0384
PTec_01.txt,0.0017
PTec_29.txt,0.0011
sl_28.txt,0.0195
Pr_14.txt,0.0034
bl_08.txt,0.0416
ANsc_02.txt,0.0025
bl_34.txt,0.0003
Pr_28.txt,0.0104
bl_20.txt,0.0266
ed_04.txt,0.0519
ed_10.txt,0.0373
ex_49.txt,0.1285
ed_06.txt,0.1578
ed_12.txt,0.0029
bl_36.txt,0.0025
bl_22.txt,0.1387
Pr_16.txt,0.0016
Pr_02.txt,0.0032
PSsc_06.txt,0.1391
PTec_17.txt,0.0015
sl_16.txt,0.0027
sl_02.txt,0.148
PTec_03.txt,0.0032
PSsc_12.txt,0.1016
SkHo_04.txt,0.0422
SkHo_10.txt,0.0336
SkHo_11.txt,0.0642
SkHo_05.txt,0.0068
PTec_02.txt,0.0019
sl_03.txt,0.0461
PSsc_13.txt,0.0076
PSsc_07.txt,0.0366
sl_17.txt,0.0854
PTec_16.txt,0.0031
Pr_03.txt,0.0032
Pr_17.txt,0.0339
bl_23.txt,0.065
bl_37.txt,0.0024
ANsc_01.txt,0.0011
ed_13.txt,0.0193
ed_07.txt,0.0038
